Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
1,2014/6/30,2.13648E+12,2.01554E+12,1.2094E+11,13345000000
1,2014/12/31,2.18646E+12,2.05551E+12,1.30949E+11,26246000000
1,2015/6/30,2.57051E+12,2.41963E+12,1.5088E+11,15267000000
1,2015/12/31,2.50715E+12,2.34565E+12,1.615E+11,28895000000
1,2016/6/30,2.80098E+12,2.60928E+12,1.917E+11,16156000000
1,2016/12/31,2.95343E+12,2.75126E+12,2.02171E+11,29779000000
1,2017/6/30,3.09214E+12,2.88069E+12,2.11454E+11,16468000000
1,2017/12/31,3.24847E+12,3.02642E+12,2.22054E+11,30223000000
1,2018/6/30,3.3674E+12,3.13926E+12,2.28141E+11,17402000000
2,2014/6/30,5.01774E+11,3.96054E+11,1.0572E+11,6856260391
2,2014/12/31,5.08409E+11,3.92515E+11,1.15894E+11,24979358868
2,2015/6/30,5.36938E+11,4.19138E+11,1.178E+11,8718934359
2,2015/12/31,6.11296E+11,4.74986E+11,1.3631E+11,33122777303
2,2016/6/30,7.12307E+11,5.74133E+11,1.38174E+11,9904605249
2,2016/12/31,8.30674E+11,6.68998E+11,1.61677E+11,39023778798
2,2017/6/30,9.29266E+11,7.68108E+11,1.61158E+11,13661653666
2,2017/12/31,1.16535E+12,9.78673E+11,1.86674E+11,50812916408
2,2018/6/30,1.34515E+12,1.13937E+12,2.05784E+11,19629139536
4,2014/6/30,275964182.4,138997110.3,136967072.1,-3549201.71
4,2014/12/31,338282581.1,180898121.8,157384459.4,3805326.19
4,2015/6/30,348660266.1,186865143.1,161795123.1,6535987.73
4,2015/12/31,398673507.1,235377522.4,163295984.7,10137004.02
4,2016/6/30,463831852.9,297543423.7,166288429.2,4174096.07
4,2016/12/31,223716293,45516490.93,178199802.1,51576371.77
4,2017/6/30,228686700,56242770.65,172443929.4,-5993508.57
4,2017/12/31,268844295.6,84752252.15,184092043.5,8796946.37
4,2018/6/30,320351200.3,113860468.5,206490731.8,-2033695.73
5,2014/6/30,1592899331,993875001.5,599024329.3,-25277385.05
5,2014/12/31,1366663808,696948779.1,669715028.8,53515574.98
5,2015/6/30,1341597410,695070889.9,646526520.5,-23428015.29
5,2015/12/31,2194008790,980809665.5,1213199125,-59377412.59
5,2016/6/30,2337898451,993335871.4,1344562579,135304892.3
5,2016/12/31,2527235374,1171900473,1355334901,129010582.5
5,2017/6/30,2771696977,1431420059,1340276918,-14929431.4
5,2017/12/31,2912099984,1507732076,1404367908,55770681.54
5,2018/6/30,2871183555,1457915180,1413268375,10841509.75
6,2014/6/30,11009599980,7034515819,3975084161,50741156.11
6,2014/12/31,11753217519,7538751703,4214465816,671279811.5
6,2015/6/30,11770598640,7445918078,4324680562,362617662.4
6,2015/12/31,12703504209,8208379056,4495125153,592102817.3
6,2016/6/30,13123005009,8685151412,4437853598,140948210.4
6,2016/12/31,13170385530,8040509904,5129875626,910717401.1
6,2017/6/30,13012148157,7861966873,5150181284,358125067.8
6,2017/12/31,13139931309,7432572286,5707359023,961839383
6,2018/6/30,12094223130,6181761513,5912461616,511411312.6
7,2014/6/30,685395873,302082660.4,383313212.6,-8615764.53
7,2014/12/31,680925247,322959007.9,357966239.1,-28744452.66
7,2015/6/30,526090691,177248982.7,348841708.3,-7747051.05
7,2015/12/31,480364514.3,107528386.6,372836127.7,12616654.84
7,2016/6/30,575597609.4,127554057.1,448043552.3,29978771.08
7,2016/12/31,514367695.1,77135641.4,437232053.7,91154708.91
7,2017/6/30,446219122.1,51353112.56,394866009.5,6029854.64
7,2017/12/31,442675593,52248511.41,390427081.6,6651055.03
7,2018/6/30,425904282.4,46573406.29,379330876.1,-14663118.76
8,2014/6/30,632124341.4,59906566.5,572217774.9,11616536.56
8,2014/12/31,674028043.8,75677281.52,598350762.3,18290671.46
8,2015/6/30,3278468392,488512586.5,2789955805,80847516.34
8,2015/12/31,3589354695,681292694.7,2908062000,195740020.1
8,2016/6/30,6899236936,1219432791,5679804146,32466366.02
8,2016/12/31,8192656626,2020170574,6172486051,563740757.5
8,2017/6/30,8394470247,2162360282,6232109965,60956585.53
8,2017/12/31,10678315230,3491262206,7187053024,1020297616
8,2018/6/30,9788928644,2664919526,7124009118,85757606.06
9,2014/6/30,13763051610,8450926295,5312125315,339885684
9,2014/12/31,14725495571,9261367292,5464128278,546882994.5
9,2015/6/30,15343074816,9661940642,5681134173,221381618.5
9,2015/12/31,18113933206,11560350527,6553582679,1099818977
9,2016/6/30,18710453048,11710435317,7000017731,197410355.7
9,2016/12/31,21622925841,13488187993,8134737848,451131117.2
9,2017/6/30,24249227169,15118355443,9130871726,223033537.2
9,2017/12/31,27109464910,17163559482,9945905428,357274816.9
9,2018/6/30,28255619787,18328195526,9927424262,342074137.2
10,2014/6/30,794965276.5,175390436.7,619574839.8,-6127237.88
10,2014/12/31,804218432.4,252627868.3,551590564.2,-51507526.74
10,2015/6/30,1887709566,1334944860,552764706.3,10898914.74
10,2015/12/31,5174655864,2991880916,2182774948,25664966.69
