date,Mktrf,SMB,HML,RMW,CMA
Jul-17,0.033307,-0.033684174,0.04004296,-0.032464261,0.032203115
Aug-17,0.023599,0.003206277,-0.008454034,-0.01495988,0.007297686
Sep-17,0.005141,0.001771902,-0.018005146,-0.007648882,-0.019218372
Oct-17,0.015359,-0.050028497,-0.013319821,0.036845429,-0.044328777
Nov-17,-0.023773,-0.049685566,0.032179508,0.024119572,0.002715836
Dec-17,0.000514,-0.025003588,-0.004186073,0.008870063,-0.020041015
Jan-18,0.043774,-0.073111317,0.064766328,0.058651031,-0.003997844
Jul-17,0.033307,-0.033684174,0.04004296,-0.032464261,0.032203115
Aug-17,0.023599,0.003206277,-0.008454034,-0.01495988,0.007297686
Sep-17,0.005141,0.001771902,-0.018005146,-0.007648882,-0.019218372
Oct-17,0.015359,-0.050028497,-0.013319821,0.036845429,-0.044328777
Nov-17,-0.023773,-0.049685566,0.032179508,0.024119572,0.002715836
Dec-17,0.000514,-0.025003588,-0.004186073,0.008870063,-0.020041015
Jan-18,0.043774,-0.073111317,0.064766328,0.058651031,-0.003997844
