date,row_type,row_count,col_type,col_count,ExcessReturn
2017-07,BM,1,Size,1,-0.012013906040731511
2017-08,BM,1,Size,1,0.04404440171211539
2017-09,BM,1,Size,1,-0.001337396578649756
2017-10,BM,1,Size,1,-0.014944343495940102
2017-11,BM,1,Size,1,-0.08815179404912366
2017-12,BM,1,Size,1,-0.019492203399554958
2018-01,BM,1,Size,1,-0.062360792740443656
2017-07,BM,2,Size,1,-0.0145556685544245
2017-08,BM,2,Size,1,0.025186605076706232
2017-09,BM,2,Size,1,0.01945286576780535
2017-10,BM,2,Size,1,-0.04459983088073287
2017-11,BM,2,Size,1,-0.07751485142662229
2017-12,BM,2,Size,1,-0.022504392084849754
2018-01,BM,2,Size,1,-0.044832805309729176
2017-07,BM,3,Size,1,-0.02757187693075018
2017-08,BM,3,Size,1,0.03400782399259494
2017-09,BM,3,Size,1,0.006768940266770395
2017-10,BM,3,Size,1,-0.025652723178550347
2017-11,BM,3,Size,1,-0.08153049720741534
2017-12,BM,3,Size,1,-0.03599105136125462
2018-01,BM,3,Size,1,-0.037873648321987384
2017-07,BM,4,Size,1,0.0011021116675820643
2017-08,BM,4,Size,1,0.013574755778835436
2017-09,BM,4,Size,1,0.02146076865192558
2017-10,BM,4,Size,1,-0.020963607246366502
2017-11,BM,4,Size,1,-0.07428264816101524
2017-12,BM,4,Size,1,-0.022926200496191047
2018-01,BM,4,Size,1,-0.030484506166387915
2017-07,BM,5,Size,1,0.00843099025362005
2017-08,BM,5,Size,1,0.026960179781398905
2017-09,BM,5,Size,1,0.00727814969478323
2017-10,BM,5,Size,1,-0.02208609136926816
2017-11,BM,5,Size,1,-0.0806514771681953
2017-12,BM,5,Size,1,-0.027781346700470073
2018-01,BM,5,Size,1,-0.026088915840816972
2017-07,BM,1,Size,2,-0.006544613338872427
2017-08,BM,1,Size,2,0.02452702664672663
2017-09,BM,1,Size,2,0.006987661232921645
2017-10,BM,1,Size,2,-0.02394913740193306
2017-11,BM,1,Size,2,-0.09363791052427216
2017-12,BM,1,Size,2,-0.0306030410181985
2018-01,BM,1,Size,2,-0.05257807963361235
2017-07,BM,2,Size,2,0.0065740847649457725
2017-08,BM,2,Size,2,0.022977746860353053
2017-09,BM,2,Size,2,0.03496016682349489
2017-10,BM,2,Size,2,-0.029718855361897636
2017-11,BM,2,Size,2,-0.08452246240362468
2017-12,BM,2,Size,2,-0.03617696937681367
2018-01,BM,2,Size,2,-0.04553107901578048
2017-07,BM,3,Size,2,0.012803401025550706
2017-08,BM,3,Size,2,0.02372576226314359
2017-09,BM,3,Size,2,0.004165923964513679
2017-10,BM,3,Size,2,-0.03166976310986932
2017-11,BM,3,Size,2,-0.04091750987671787
2017-12,BM,3,Size,2,-0.01643980964012973
2018-01,BM,3,Size,2,-0.030662108598677067
2017-07,BM,4,Size,2,3.0376546270507384e-05
2017-08,BM,4,Size,2,0.04437181527132582
2017-09,BM,4,Size,2,0.011299421678895678
2017-10,BM,4,Size,2,-0.02967119439592674
2017-11,BM,4,Size,2,-0.08019644560187829
2017-12,BM,4,Size,2,-0.01121499050952382
2018-01,BM,4,Size,2,-0.024711542363070566
2017-07,BM,5,Size,2,0.026942299979465043
2017-08,BM,5,Size,2,0.02664952330050681
2017-09,BM,5,Size,2,0.006414674164915494
2017-10,BM,5,Size,2,-0.016724145905388108
2017-11,BM,5,Size,2,-0.05353521333145106
2017-12,BM,5,Size,2,-0.005443388613744175
2018-01,BM,5,Size,2,-0.02974771476213951
2017-07,BM,1,Size,3,-0.001246023840273087
2017-08,BM,1,Size,3,0.019889821627821568
2017-09,BM,1,Size,3,-0.0007181747141024799
2017-10,BM,1,Size,3,-0.03926822233990551
2017-11,BM,1,Size,3,-0.06045505484190752
2017-12,BM,1,Size,3,-0.03028151871933841
2018-01,BM,1,Size,3,-0.03757197320564476
2017-07,BM,2,Size,3,0.006241124411677317
2017-08,BM,2,Size,3,0.03166769221610933
2017-09,BM,2,Size,3,0.03431879150159102
2017-10,BM,2,Size,3,-0.049822760763055154
2017-11,BM,2,Size,3,-0.06513281360219736
2017-12,BM,2,Size,3,-0.01960407162624076
2018-01,BM,2,Size,3,-0.03141355526980215
2017-07,BM,3,Size,3,0.014522088577254401
2017-08,BM,3,Size,3,0.024306525075261386
2017-09,BM,3,Size,3,0.012091783847795155
2017-10,BM,3,Size,3,-0.015623565543725505
2017-11,BM,3,Size,3,-0.055475018193716176
2017-12,BM,3,Size,3,-0.02921209944968824
2018-01,BM,3,Size,3,-0.03538618263811724
2017-07,BM,4,Size,3,0.026404267234619774
2017-08,BM,4,Size,3,0.01307568869935958
2017-09,BM,4,Size,3,-0.0038540969425554456
2017-10,BM,4,Size,3,-0.025060164822731695
2017-11,BM,4,Size,3,-0.060841171220466714
2017-12,BM,4,Size,3,-0.019354201058558316
2018-01,BM,4,Size,3,-0.02084822630710769
2017-07,BM,5,Size,3,0.04578713779707435
2017-08,BM,5,Size,3,0.03880242193177384
2017-09,BM,5,Size,3,-0.0027649367698440418
2017-10,BM,5,Size,3,-0.03627176198622563
2017-11,BM,5,Size,3,-0.050423714474009416
2017-12,BM,5,Size,3,-0.02784341435103035
2018-01,BM,5,Size,3,0.006474691391727788
2017-07,BM,1,Size,4,0.009744197247531287
2017-08,BM,1,Size,4,0.04163764842861844
2017-09,BM,1,Size,4,0.02603911481757324
2017-10,BM,1,Size,4,-0.023888346323896113
2017-11,BM,1,Size,4,-0.08240562903409604
2017-12,BM,1,Size,4,-0.02495642404631058
2018-01,BM,1,Size,4,-0.06207293370566896
2017-07,BM,2,Size,4,0.03655229872415775
2017-08,BM,2,Size,4,0.029323131871506827
2017-09,BM,2,Size,4,0.005532152018403194
2017-10,BM,2,Size,4,-0.0008701028842038069
2017-11,BM,2,Size,4,-0.05263053630144577
2017-12,BM,2,Size,4,-0.008123596505036206
2018-01,BM,2,Size,4,-0.04537497196572806
2017-07,BM,3,Size,4,0.03158908680306219
2017-08,BM,3,Size,4,0.022141890894994132
2017-09,BM,3,Size,4,0.020954097676188718
2017-10,BM,3,Size,4,-0.022276480657412504
2017-11,BM,3,Size,4,-0.04811147710454888
2017-12,BM,3,Size,4,-0.016414411807877432
2018-01,BM,3,Size,4,-0.028834285006301946
2017-07,BM,4,Size,4,0.02620376771443281
2017-08,BM,4,Size,4,0.022989256481187142
2017-09,BM,4,Size,4,0.010767040908249979
2017-10,BM,4,Size,4,-0.02194938647589729
2017-11,BM,4,Size,4,-0.04712163560503371
2017-12,BM,4,Size,4,-0.01878292134355235
2018-01,BM,4,Size,4,-0.0025295018764689642
2017-07,BM,5,Size,4,0.09672036051370013
2017-08,BM,5,Size,4,0.01936427787771096
2017-09,BM,5,Size,4,-0.0025922638303630266
2017-10,BM,5,Size,4,-0.02727749896076482
2017-11,BM,5,Size,4,-0.027537193957960625
2017-12,BM,5,Size,4,-0.008577317346914755
2018-01,BM,5,Size,4,0.02443595412211732
2017-07,BM,1,Size,5,0.0004103956433129141
2017-08,BM,1,Size,5,0.04886934709159953
2017-09,BM,1,Size,5,0.04237834041951523
2017-10,BM,1,Size,5,0.09094709107159923
2017-11,BM,1,Size,5,-0.03885461506189906
2017-12,BM,1,Size,5,0.04441780476888118
2018-01,BM,1,Size,5,0.018364684605863872
2017-07,BM,2,Size,5,-0.0036494849977669456
2017-08,BM,2,Size,5,0.01411660893432019
2017-09,BM,2,Size,5,0.037590668661380944
2017-10,BM,2,Size,5,0.0444567873477759
2017-11,BM,2,Size,5,-0.04079163216524121
2017-12,BM,2,Size,5,0.004348638711470425
2018-01,BM,2,Size,5,-0.011723477552575641
2017-07,BM,3,Size,5,0.029855598527862102
2017-08,BM,3,Size,5,0.0023426805577216325
2017-09,BM,3,Size,5,0.023630955947085617
2017-10,BM,3,Size,5,0.045606546177116646
2017-11,BM,3,Size,5,-0.02460500202737809
2017-12,BM,3,Size,5,0.03750947743208252
2018-01,BM,3,Size,5,0.034649961513030826
2017-07,BM,4,Size,5,0.030596444373273413
2017-08,BM,4,Size,5,0.015227794241728142
2017-09,BM,4,Size,5,-0.010362871715410952
2017-10,BM,4,Size,5,0.05668996394981974
2017-11,BM,4,Size,5,-0.028464365553253598
2017-12,BM,4,Size,5,0.005980863946693227
2018-01,BM,4,Size,5,0.02320803597630068
2017-07,BM,5,Size,5,0.058511414727048204
2017-08,BM,5,Size,5,0.02070379230463057
2017-09,BM,5,Size,5,-0.005182598342165476
2017-10,BM,5,Size,5,0.01739530472120588
2017-11,BM,5,Size,5,0.010864659895724113
2017-12,BM,5,Size,5,-0.00510731703754869
2018-01,BM,5,Size,5,0.10860723754679721
